Pair_ID,Variable,Correlation,Importance,DESCRIPTION,Group
c1v2,FC55555,0.9750474904899303,120.0,####### UPDATE DESCRIPTION,c1v
c1v1,FC55552,0.9750474904899303,117.0,ALK FD TO HYDR RX DC-551,c1v
c2v2,TI55017,0.9174285223155333,117.0,FA-554 SLURRY OUTLET,c2v
c3v2,TI55017,0.9281717334621297,117.0,FA-554 SLURRY OUTLET,c3v
c4v2,TI55017,0.9266988073312362,117.0,FA-554 SLURRY OUTLET,c4v
c5v2,TI55017,0.9317737031450497,117.0,FA-554 SLURRY OUTLET,c5v
c7v1,TC55553,0.9599250592711609,107.0,DC-551 HYDR H2O PREHEAT,c7v
c9v1,TC55553,0.9594076416375813,107.0,DC-551 HYDR H2O PREHEAT,c9v
c6v1,TC55553,0.9596125873680862,107.0,DC-551 HYDR H2O PREHEAT,c6v
c8v1,TC55553,0.9682930043438114,107.0,DC-551 HYDR H2O PREHEAT,c8v
c11v1,TI55013,0.9889504701261531,67.0,DC-551  HYDR RX SLURRY O,c11
c10v1,TI55013,0.9820061411711576,67.0,DC-551  HYDR RX SLURRY O,c10
c6v2,TI55013,0.9596125873680862,67.0,DC-551  HYDR RX SLURRY O,c6v
c12v1,TI55013,0.9831830705587215,67.0,DC-551  HYDR RX SLURRY O,c12
c2v1,TI55013,0.9174285223155333,67.0,DC-551  HYDR RX SLURRY O,c2v
c7v2,TI55015,0.9599250592711609,62.0,FA-552 1ST STG SEP BTMS,c7v
c14v1,TI55015,0.9904033342223216,62.0,FA-552 1ST STG SEP BTMS,c14
c13v2,TI55015,0.9935613747941447,62.0,FA-552 1ST STG SEP BTMS,c13
c3v1,TI55015,0.9281717334621297,62.0,FA-552 1ST STG SEP BTMS,c3v
c10v2,TI55015,0.9820061411711576,62.0,FA-552 1ST STG SEP BTMS,c10
c15v1,TI55014,0.9963387990198939,51.0,FA-553  1ST STG MIX DRUM,c15
c13v1,TI55014,0.9935613747941447,51.0,FA-553  1ST STG MIX DRUM,c13
c8v2,TI55014,0.9682930043438114,51.0,FA-553  1ST STG MIX DRUM,c8v
c11v2,TI55014,0.9889504701261531,51.0,FA-553  1ST STG MIX DRUM,c11
c4v1,TI55014,0.9266988073312362,51.0,FA-553  1ST STG MIX DRUM,c4v
c12v2,TI55016,0.9831830705587215,37.0,FA-551  2ND STG MIXER,c12
c9v2,TI55016,0.9594076416375813,37.0,FA-551  2ND STG MIXER,c9v
c5v1,TI55016,0.9317737031450497,37.0,FA-551  2ND STG MIXER,c5v
c14v2,TI55016,0.9904033342223216,37.0,FA-551  2ND STG MIXER,c14
c15v2,TI55016,0.9963387990198939,37.0,FA-551  2ND STG MIXER,c15
