Pair_ID,Variable,Correlation,DESCRIPTION
c8v2,TI55023,0.9209887335503337,####### UPDATE DESCRIPTION
c7v2,TI55023,0.9688896753849706,####### UPDATE DESCRIPTION
c24v2,TI55017,0.9319569924763953,FA-554 SLURRY OUTLET
c21v2,TI55017,0.9285285750794596,FA-554 SLURRY OUTLET
c18v2,TI55017,0.9196622223149198,FA-554 SLURRY OUTLET
c14v2,TI55017,0.90373594746123,FA-554 SLURRY OUTLET
c23v2,TI55017,0.9324555942528873,FA-554 SLURRY OUTLET
c13v2,TI55016,0.9684507523408331,FA-551  2ND STG MIXER
c17v2,TI55016,0.9847001891566531,FA-551  2ND STG MIXER
c24v1,TI55016,0.9319569924763953,FA-551  2ND STG MIXER
c22v2,TI55016,0.9939103447474191,FA-551  2ND STG MIXER
c20v2,TI55016,0.9978209848757116,FA-551  2ND STG MIXER
c19v2,TI55015,0.9956631854061595,FA-552 1ST STG SEP BTMS
c12v2,TI55015,0.9682977073366781,FA-552 1ST STG SEP BTMS
c22v1,TI55015,0.9939103447474191,FA-552 1ST STG SEP BTMS
c23v1,TI55015,0.9324555942528873,FA-552 1ST STG SEP BTMS
c16v2,TI55015,0.9817296891413653,FA-552 1ST STG SEP BTMS
c20v1,TI55014,0.9978209848757116,FA-553  1ST STG MIX DRUM
c15v2,TI55014,0.988367657824234,FA-553  1ST STG MIX DRUM
c21v1,TI55014,0.9285285750794596,FA-553  1ST STG MIX DRUM
c19v1,TI55014,0.9956631854061595,FA-553  1ST STG MIX DRUM
c11v2,TI55014,0.9726198061243636,FA-553  1ST STG MIX DRUM
c16v1,TI55013,0.9817296891413653,DC-551  HYDR RX SLURRY O
c10v2,TI55013,0.9609138006408687,DC-551  HYDR RX SLURRY O
c17v1,TI55013,0.9847001891566531,DC-551  HYDR RX SLURRY O
c15v1,TI55013,0.988367657824234,DC-551  HYDR RX SLURRY O
c18v1,TI55013,0.9196622223149198,DC-551  HYDR RX SLURRY O
c9v2,TI40050,0.9403915597932132,CLARK AIR COMP INLET TEMP
c13v1,TC55553,0.9684507523408331,DC-551 HYDR H2O PREHEAT
c14v1,TC55553,0.90373594746123,DC-551 HYDR H2O PREHEAT
c12v1,TC55553,0.9682977073366781,DC-551 HYDR H2O PREHEAT
c11v1,TC55553,0.9726198061243636,DC-551 HYDR H2O PREHEAT
c10v1,TC55553,0.9609138006408687,DC-551 HYDR H2O PREHEAT
c9v1,TC52015,0.9403915597932132,X8-029 ALUM SLRY COOLER
c6v2,PI55560,0.9363691954496854,DA-554 MIDDLE PRESSURE
c8v1,PI55560,0.9209887335503337,DA-554 MIDDLE PRESSURE
c6v1,PI55004,0.9363691954496854,DA-554 BOTTOM PRESSURE
c7v1,PI55004,0.9688896753849706,DA-554 BOTTOM PRESSURE
c1v2,Octanol,0.9705548281478044,####### UPDATE DESCRIPTION
c1v1,Hexanol,0.9705548281478044,####### UPDATE DESCRIPTION
c5v2,FYC55553,0.9279933854341496,TOT H2O TO DC-551
c4v2,FYC55553,0.9467835391585908,TOT H2O TO DC-551
c5v1,FC55555,0.9279933854341496,####### UPDATE DESCRIPTION
c3v2,FC55555,0.9694023367828142,####### UPDATE DESCRIPTION
c4v1,FC55552,0.9467835391585908,ALK FD TO HYDR RX DC-551
c3v1,FC55552,0.9694023367828142,ALK FD TO HYDR RX DC-551
c2v2,FC55152,0.9151113604579704,2ND STG SLURRY TO DA554
c2v1,FC55102,0.9151113604579704,HYDROL RX OUTLET
